date,nation,selections,team
2020-12-25,switzerland,Simon Knak,Relitz Relish
2020-12-25,germany,Tim Stutzle,Campbells Soup
2020-12-25,germany,Arno Tiefensee,Dernic Dynasty
2020-12-25,russia,Yaroslav Askarov,Double Dions
2020-12-25,russia,Vasily Podkolzin,Campbells Soup
2020-12-25,russia,Shakir Mukhamadullin,Yorkton G-Spots
2020-12-25,russia,Rodion Amirov,Mikado Magic
2020-12-25,russia,Mikhail Abramov,Cozens Eddie
2020-12-25,russia,Yegor Afanasyev,Craigs Button
2020-12-26,sweden,Lucas Raymond,Campbells Soup
2020-12-26,sweden,Hugo Alnefelt,Mikado Magic
2020-12-26,sweden,Philip Broberg,Relitz Relish
2020-12-26,sweden,Alexander Holtz,Cozens Eddie
2020-12-26,sweden,Arvid Costmar,Yorkton G-Spots
2020-12-26,sweden,Tobias Bjornfot,Double Dions
2020-12-26,sweden,Victor Soderstrom,Dernic Dynasty
2020-12-26,germany,Tim Stutzle,Campbells Soup
2020-12-26,germany,Arno Tiefensee,Dernic Dynasty
2020-12-27,finland,Aku Raty,Relitz Relish
2020-12-27,finland,Anton Lundell,Dernic Dynasty
2020-12-27,finland,Joel Blomqvist,Cozens Eddie
2020-12-27,finland,Ville Heinola,Mikado Magic
2020-12-27,finland,Roni Hirvonen,Double Dions
2020-12-27,finland,Henri Nikkanen,Yorkton G-Spots
2020-12-27,slovakia,Samuel Hlavaj,Relitz Relish
2020-12-27,czech_republic,Lukas Parik,Craigs Button
2020-12-28,austria,Marco Rossi,Craigs Button
2020-12-28,slovakia,Samuel Hlavaj,Relitz Relish
2020-12-29,canada,Dawson Mercer,Cozens Eddie
2020-12-29,canada,Quinton Byfield,Relitz Relish
2020-12-29,canada,Dylan Cozens,Dernic Dynasty
2020-12-29,canada,Dylan Holloway,Yorkton G-Spots
2020-12-29,canada,Connor McMichael,Double Dions
2020-12-29,canada,Jamie Drysdale,Craigs Button
2020-12-29,canada,Alex Newhook,Mikado Magic
2020-12-29,canada,Taylor Gauthier,Campbells Soup
2020-12-29,canada,Jack Quinn,Yorkton G-Spots
2020-12-29,canada,Peyton Krebs,Double Dions
2020-12-29,canada,Cole Perfetti,Craigs Button
2020-12-29,canada,Bowen Byram,Dernic Dynasty
2020-12-29,canada,Connor Zary,Cozens Eddie
2020-12-29,austria,Marco Rossi,Craigs Button
2020-12-30,finland,Aku Raty,Relitz Relish
2020-12-30,finland,Anton Lundell,Dernic Dynasty
2020-12-30,finland,Joel Blomqvist,Cozens Eddie
2020-12-30,finland,Ville Heinola,Mikado Magic
2020-12-30,finland,Roni Hirvonen,Double Dions
2020-12-30,finland,Henri Nikkanen,Yorkton G-Spots
2020-12-30,switzerland,Simon Knak,Relitz Relish
2020-12-30,russia,Yaroslav Askarov,Double Dions
2020-12-30,russia,Vasily Podkolzin,Campbells Soup
2020-12-30,russia,Shakir Mukhamadullin,Yorkton G-Spots
2020-12-30,russia,Rodion Amirov,Mikado Magic
2020-12-30,russia,Mikhail Abramov,Cozens Eddie
2020-12-30,russia,Yegor Afanasyev,Craigs Button
2020-12-31,czech_republic,Lukas Parik,Craigs Button
2020-12-31,canada,Dawson Mercer,Cozens Eddie
2020-12-31,canada,Quinton Byfield,Relitz Relish
2020-12-31,canada,Dylan Cozens,Dernic Dynasty
2020-12-31,canada,Dylan Holloway,Yorkton G-Spots
2020-12-31,canada,Connor McMichael,Double Dions
2020-12-31,canada,Jamie Drysdale,Craigs Button
2020-12-31,canada,Alex Newhook,Mikado Magic
2020-12-31,canada,Taylor Gauthier,Campbells Soup
2020-12-31,canada,Jack Quinn,Yorkton G-Spots
2020-12-31,canada,Peyton Krebs,Double Dions
2020-12-31,canada,Cole Perfetti,Craigs Button
2020-12-31,canada,Bowen Byram,Dernic Dynasty
2020-12-31,canada,Connor Zary,Cozens Eddie
2020-12-31,sweden,Lucas Raymond,Campbells Soup
2020-12-31,sweden,Hugo Alnefelt,Mikado Magic
2020-12-31,sweden,Philip Broberg,Relitz Relish
2020-12-31,sweden,Alexander Holtz,Cozens Eddie
2020-12-31,sweden,Arvid Costmar,Yorkton G-Spots
2020-12-31,sweden,Tobias Bjornfot,Double Dions
2020-12-31,sweden,Victor Soderstrom,Dernic Dynasty
2021-01-04,canada,Dawson Mercer,Cozens Eddie
2021-01-04,canada,Quinton Byfield,Relitz Relish
2021-01-04,canada,Dylan Cozens,Dernic Dynasty
2021-01-04,canada,Dylan Holloway,Yorkton G-Spots
2021-01-04,canada,Connor McMichael,Double Dions
2021-01-04,canada,Jamie Drysdale,Craigs Button
2021-01-04,canada,Alex Newhook,Mikado Magic
2021-01-04,canada,Taylor Gauthier,Campbells Soup
2021-01-04,canada,Jack Quinn,Yorkton G-Spots
2021-01-04,canada,Peyton Krebs,Double Dions
2021-01-04,canada,Cole Perfetti,Craigs Button
2021-01-04,canada,Bowen Byram,Dernic Dynasty
2021-01-04,canada,Connor Zary,Cozens Eddie
2021-01-05,finland,Aku Raty,Relitz Relish
2021-01-05,finland,Anton Lundell,Dernic Dynasty
2021-01-05,finland,Joel Blomqvist,Cozens Eddie
2021-01-05,finland,Ville Heinola,Mikado Magic
2021-01-05,finland,Roni Hirvonen,Double Dions
2021-01-05,finland,Henri Nikkanen,Yorkton G-Spots
2021-01-05,canada,Dawson Mercer,Cozens Eddie
2021-01-05,canada,Quinton Byfield,Relitz Relish
2021-01-05,canada,Dylan Cozens,Dernic Dynasty
2021-01-05,canada,Dylan Holloway,Yorkton G-Spots
2021-01-05,canada,Connor McMichael,Double Dions
2021-01-05,canada,Jamie Drysdale,Craigs Button
2021-01-05,canada,Alex Newhook,Mikado Magic
2021-01-05,canada,Taylor Gauthier,Campbells Soup
2021-01-05,canada,Jack Quinn,Yorkton G-Spots
2021-01-05,canada,Peyton Krebs,Double Dions
2021-01-05,canada,Cole Perfetti,Craigs Button
2021-01-05,canada,Bowen Byram,Dernic Dynasty
2021-01-05,canada,Connor Zary,Cozens Eddie
2020-12-25,slovakia,Samuel Hlavaj,Relitz Relish
2020-12-25,finland,Aku Raty,Relitz Relish
2020-12-25,finland,Anton Lundell,Dernic Dynasty
2020-12-25,finland,Joel Blomqvist,Cozens Eddie
2020-12-25,finland,Ville Heinola,Mikado Magic
2020-12-25,finland,Roni Hirvonen,Double Dions
2020-12-25,finland,Henri Nikkanen,Yorkton G-Spots
2020-12-26,czech_republic,Lukas Parik,Craigs Button
2020-12-26,canada,Dawson Mercer,Cozens Eddie
2020-12-26,canada,Quinton Byfield,Relitz Relish
2020-12-26,canada,Dylan Cozens,Dernic Dynasty
2020-12-26,canada,Dylan Holloway,Yorkton G-Spots
2020-12-26,canada,Connor McMichael,Double Dions
2020-12-26,canada,Jamie Drysdale,Craigs Button
2020-12-26,canada,Alex Newhook,Mikado Magic
2020-12-26,canada,Taylor Gauthier,Campbells Soup
2020-12-26,canada,Jack Quinn,Yorkton G-Spots
2020-12-26,canada,Peyton Krebs,Double Dions
2020-12-26,canada,Cole Perfetti,Craigs Button
2020-12-26,canada,Bowen Byram,Dernic Dynasty
2020-12-26,canada,Connor Zary,Cozens Eddie
2020-12-26,austria,Marco Rossi,Craigs Button
2020-12-27,switzerland,Simon Knak,Relitz Relish
2020-12-27,canada,Dawson Mercer,Cozens Eddie
2020-12-27,canada,Quinton Byfield,Relitz Relish
2020-12-27,canada,Dylan Cozens,Dernic Dynasty
2020-12-27,canada,Dylan Holloway,Yorkton G-Spots
2020-12-27,canada,Connor McMichael,Double Dions
2020-12-27,canada,Jamie Drysdale,Craigs Button
2020-12-27,canada,Alex Newhook,Mikado Magic
2020-12-27,canada,Taylor Gauthier,Campbells Soup
2020-12-27,canada,Jack Quinn,Yorkton G-Spots
2020-12-27,canada,Peyton Krebs,Double Dions
2020-12-27,canada,Cole Perfetti,Craigs Button
2020-12-27,canada,Bowen Byram,Dernic Dynasty
2020-12-27,canada,Connor Zary,Cozens Eddie
2020-12-27,russia,Yaroslav Askarov,Double Dions
2020-12-27,russia,Vasily Podkolzin,Campbells Soup
2020-12-27,russia,Shakir Mukhamadullin,Yorkton G-Spots
2020-12-27,russia,Rodion Amirov,Mikado Magic
2020-12-27,russia,Mikhail Abramov,Cozens Eddie
2020-12-27,russia,Yegor Afanasyev,Craigs Button
2020-12-28,sweden,Lucas Raymond,Campbells Soup
2020-12-28,sweden,Hugo Alnefelt,Mikado Magic
2020-12-28,sweden,Philip Broberg,Relitz Relish
2020-12-28,sweden,Alexander Holtz,Cozens Eddie
2020-12-28,sweden,Arvid Costmar,Yorkton G-Spots
2020-12-28,sweden,Tobias Bjornfot,Double Dions
2020-12-28,sweden,Victor Soderstrom,Dernic Dynasty
2020-12-28,germany,Tim Stutzle,Campbells Soup
2020-12-28,germany,Arno Tiefensee,Dernic Dynasty
2020-12-29,czech_republic,Lukas Parik,Craigs Button
2020-12-29,switzerland,Simon Knak,Relitz Relish
2020-12-29,russia,Yaroslav Askarov,Double Dions
2020-12-29,russia,Vasily Podkolzin,Campbells Soup
2020-12-29,russia,Shakir Mukhamadullin,Yorkton G-Spots
2020-12-29,russia,Rodion Amirov,Mikado Magic
2020-12-29,russia,Mikhail Abramov,Cozens Eddie
2020-12-29,russia,Yegor Afanasyev,Craigs Button
2020-12-30,slovakia,Samuel Hlavaj,Relitz Relish
2020-12-30,germany,Tim Stutzle,Campbells Soup
2020-12-30,germany,Arno Tiefensee,Dernic Dynasty
2020-12-30,sweden,Lucas Raymond,Campbells Soup
2020-12-30,sweden,Hugo Alnefelt,Mikado Magic
2020-12-30,sweden,Philip Broberg,Relitz Relish
2020-12-30,sweden,Alexander Holtz,Cozens Eddie
2020-12-30,sweden,Arvid Costmar,Yorkton G-Spots
2020-12-30,sweden,Tobias Bjornfot,Double Dions
2020-12-30,sweden,Victor Soderstrom,Dernic Dynasty
2020-12-31,austria,Marco Rossi,Craigs Button
2020-12-31,finland,Aku Raty,Relitz Relish
2020-12-31,finland,Anton Lundell,Dernic Dynasty
2020-12-31,finland,Joel Blomqvist,Cozens Eddie
2020-12-31,finland,Ville Heinola,Mikado Magic
2020-12-31,finland,Roni Hirvonen,Double Dions
2020-12-31,finland,Henri Nikkanen,Yorkton G-Spots
2021-01-04,russia,Yaroslav Askarov,Double Dions
2021-01-04,russia,Vasily Podkolzin,Campbells Soup
2021-01-04,russia,Shakir Mukhamadullin,Yorkton G-Spots
2021-01-04,russia,Rodion Amirov,Mikado Magic
2021-01-04,russia,Mikhail Abramov,Cozens Eddie
2021-01-04,russia,Yegor Afanasyev,Craigs Button
2021-01-04,finland,Aku Raty,Relitz Relish
2021-01-04,finland,Anton Lundell,Dernic Dynasty
2021-01-04,finland,Joel Blomqvist,Cozens Eddie
2021-01-04,finland,Ville Heinola,Mikado Magic
2021-01-04,finland,Roni Hirvonen,Double Dions
2021-01-04,finland,Henri Nikkanen,Yorkton G-Spots
2021-01-05,russia,Yaroslav Askarov,Double Dions
2021-01-05,russia,Vasily Podkolzin,Campbells Soup
2021-01-05,russia,Shakir Mukhamadullin,Yorkton G-Spots
2021-01-05,russia,Rodion Amirov,Mikado Magic
2021-01-05,russia,Mikhail Abramov,Cozens Eddie
2021-01-05,russia,Yegor Afanasyev,Craigs Button
